model,k,lik,aic,daic
SP-SST-Pella-Region-LME,708,-16639.39762,-31862.79525,0
SP-SST-Pella-Taxa-Family,708,-16637.23622,-31858.47245,4.322799615
SP-SST-Pella-Region-FAO area,708,-16636.93464,-31857.86929,4.925956277
SP-SST-Pella-Taxa-Order,708,-16635.73281,-31855.46563,7.329619376
SP-SST-Pella 40%,707,-16634.58518,-31855.17036,7.624889948
SP-SST-Pella-SA-Method #2,708,-16635.22621,-31854.45243,8.342818562
SP-SST-Pella-SA-Method #1,708,-16634.58518,-31853.17036,9.624883392
SP-SST-Pella 45%,707,-16609.89293,-31805.78586,57.00938559
SP-SST-Pella 37%,707,-16601.15431,-31788.30863,74.48661594
SP-SST-Pella-Region-Null 1,708,-16546.5675,-31677.135,185.6602477
SP-SST-Pella-Region-Null 2,708,-16541.30549,-31666.61097,196.1842753
SP-SST-Pella-Region-Null 3,708,-16538.97689,-31661.95378,200.841461
SP-SST-Cobe,707,-16537.73848,-31661.47696,201.3182865
SP-SST-ERSST,707,-16521.85259,-31629.70518,233.0900637
SP-SST-HadISST,707,-16511.39411,-31608.78822,254.007028
SP,705,-16444.75726,-31479.51452,383.280723
