"assessid","stockid","mgmt","assessor","years","year","method","method1","method2","country","region","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","msy_true","b0_true","msy_true_units","b0_true_units","tl_nyrs","tl_avg","tl_units","tc_nyrs","tc_avg","tc_units","catch_type","catch_nyrs","catch_avg","catch_units","r_nyrs","r_avg","r_units","ssb_nyrs","ssb_avg","ssb_units","tb_nyrs","tb_avg","tb_units","tn_nyrs","tn_avg","tn_units","sp_model"
"DFO-ACADRED2J3K-1960-2010-WATSON","ACADRED2J3K","DFO","DFO","1960-2010",2010,"Biomass dynamics model","BSPM","Bayesian Surplus Production Model","Canada","Canada East Coast","NAFO Division 2J3K","Canada-DFO-2J3K","Acadian redfish NAFO-2J3K","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Sebastes fasciatus","Acadian redfish",3000,NA,"MT",NA,0,NA,NA,51,4084.61568627451,"MT","tc",51,4084.61568627451,"MT",0,NA,NA,0,NA,NA,32,110393.75,"MT",0,NA,NA,"yes"
"DFO-ACADRED3LNO-UT12-1960-2010-WATSON","ACADRED3LNO-UT12","DFO","DFO","1960-2010",2010,"Biomass dynamics model","BSPM","Bayesian Surplus Production Model","Canada","Canada East Coast","NAFO Division 3LNO and Units 1 and 2","Canada-DFO-3LNO-UT12","Acadian redfish Units 1-2 and NAFO-3LNO","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Sebastes fasciatus","Acadian redfish",116000,NA,"MT",NA,0,NA,NA,51,44176.4705882353,"MT","tc",51,44176.4705882353,"MT",0,NA,NA,0,NA,NA,18,171777.777777778,"MT",0,NA,NA,NA
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","NMFS","NEFSC","1913-2007",2007,"Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","US East Coast","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Acadian redfish Gulf of Maine / Georges Bank","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Sebastes fasciatus","Acadian redfish",10491,NA,"MT",NA,95,10740.3263157895,"MT",95,10790,"MT","tc",95,10790,"MT",95,45095368.4210526,"E00",95,270962.210526316,"MT",0,NA,NA,0,NA,NA,NA
"DFO-ACADREDUT3-1960-2010-WATSON","ACADREDUT3","DFO","DFO","1960-2010",2010,"Biomass dynamics model","BSPM","Bayesian Surplus Production Model","Canada","Canada East Coast","Unit 3","Canada-DFO-UT3","Acadian redfish Unit 3","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Sebastes fasciatus","Acadian redfish",131000,NA,"MT",NA,0,NA,NA,51,8021.56862745098,"MT","tc",51,8021.56862745098,"MT",0,NA,NA,0,NA,NA,40,71750,"MT",0,NA,NA,"yes"
"IFOP-AFLONCH-1998-2011-CHING","AFLONCH","SPRFMO","IFOP","1998-2011",2011,"Unknown","unknown","Unknown","multinational","South America","Chilean EEZ and offshore","multinational-SPRFMO-CH","Alfonsino Chile","Actinopterygii","Beryciformes","Berycidae","Beryx","Beryx splendens","Beryx splendens","Alfonsino",NA,NA,NA,NA,14,3069.28571428571,"MT",0,NA,NA,"tl",14,3069.28571428571,"MT",14,12109.2857142857,"E00",14,5453.92857142857,"MT",14,24764.2857142857,"MT",0,NA,NA,NA
"IOTC-ALBAIO-1950-2014-PONS","ALBAIO","IOTC","IOTC","1950-2014",2014,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","multinational","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Albacore tuna Indian Ocean","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",40568.8,187325,"MT","MT",65,22043.03,"MT",0,NA,NA,"tl",65,22043.03,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"ICCAT-ALBAMED-1956-2011-CHING","ALBAMED","ICCAT","ICCAT","1956-2011",2011,"Biomass dynamics model","BSPM","Bayesian Surplus Production Model","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-ICCAT-MED","Albacore tuna Mediterranean","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",28900,NA,"MT",NA,0,NA,NA,55,2094.50909090909,"MT","tc",55,2094.50909090909,"MT",0,NA,NA,0,NA,NA,47,320872.340425532,"MT",0,NA,NA,"yes"
"ICCAT-ALBANATL-1930-2015-PONS","ALBANATL","ICCAT","ICCAT","1930-2015",2015,"Biomass dynamics model","ASPIC","Surplus production model","multinational","Atlantic Ocean","Northern Atlantic","multinational-ICCAT-NATL","Albacore tuna North Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",36650,NA,"MT",NA,0,NA,NA,64,39264.0625,"MT","tc",64,39264.0625,"MT",0,NA,NA,0,NA,NA,82,493219.512195122,"MT",0,NA,NA,"yes"
"ISC-ALBANPAC-1950-2012-PONS","ALBANPAC","ISC","ISC","1950-2012",2012,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","multinational","US West Coast","North Pacific Ocean","Multinational-ISC-NPAC","Albacore tuna North Pacific","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",105571,NA,"MT",NA,0,NA,NA,63,74530.1587301587,"MT","tc",63,74530.1587301587,"MT",47,42995744.6808511,"E00",47,133493.617021277,"MT",47,734829.787234043,"MT",0,NA,NA,"yes"
"ICCAT-ALBASATL-1950-2015-PONS","ALBASATL","ICCAT","ICCAT","1950-2015",2015,"Biomass dynamics model","ASPIC","Surplus production model","multinational","Atlantic Ocean","South Atlantic","multinational-ICCAT-SATL","Albacore tuna South Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",25147.5,NA,"MT",NA,0,NA,NA,64,21412.75,"MT","tc",64,21412.75,"MT",0,NA,NA,0,NA,NA,57,254070.175438596,"MT",0,NA,NA,"yes"
